Activity,Location,Impact Category,Baseline 2025,Baseline 2040,Baseline Change,Baseline % Change,VSI 2025,VSI 2040,VSI Change,VSI % Change,VSI to baseline change,VSI to baseline change %,SSP,Activity Group
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('IPCC 2013', 'climate change', 'GWP 100a, incl. H and bio CO2')",0.4869499343418286,0.4510783578451887,-0.03587157649663991,-7.366584112004176,0.4869484170966272,0.4510620210719819,-0.03588639602464527,-7.36965041155975,-1.6336773206782063e-05,-0.0030662995555736927,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'particulate matter formation', 'PMFP')",0.0012726342612755,0.0013179476008667,4.5313339591199946e-05,3.5605940347531244,0.0012726207661907,0.0013179503589063,4.532959271560011e-05,3.5619089299700737,2.758039600089107e-09,0.0013148952169492745,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'agricultural land occupation', 'ALOP')",0.0365573367460991,0.1438557084557596,0.1072983717096605,293.5070802746863,0.0365573402191513,0.1438559946835974,0.10729865446444609,293.50782584624557,2.862278377924188e-07,0.0007455715592641354,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'freshwater eutrophication', 'FEP')",0.0016973811629738,0.0017349958635298,3.761470055599998e-05,2.216043242173095,0.0016973862760887,0.0017350063481439,3.762007205520006e-05,2.216353023773014,1.0484614100091799e-08,0.00030978159991912335,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'metal depletion', 'MDP')",5.02415310561484,5.025406496201274,0.0012533905864344774,0.02494730077062593,5.024152920585399,5.025406454708916,0.0012535341235171416,0.024950158630344464,-4.149235799388862e-08,2.8578597185344168e-06,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'terrestrial acidification', 'TAP100')",0.0028662474260459,0.0029971417685561,0.00013089434251019978,4.566749587657672,0.0028664291921334,0.0029971698651983,0.0001307406730649001,4.5610989946552145,2.8096642200325928e-08,-0.005650593002457072,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'water depletion', 'WDP')",0.0162215032677296,0.0160819573316306,-0.00013954593609900173,-0.8602528002235696,0.0162214856118879,0.0160819322239292,-0.00013955338795870048,-0.8602996747500669,-2.51077014006007e-08,-4.6874526497209246e-05,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'urban land occupation', 'ULOP')",0.0648836962330154,0.0702682882864007,0.005384592053385304,8.298836789519104,0.0648835954288763,0.0702680959592188,0.005384500530342506,8.298708625425752,-1.9232718190265174e-07,-0.00012816409335236756,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'ionising radiation', 'IRP_HE')",0.0261229537023275,0.0194803934144851,-0.006642560287842398,-25.428059795744158,0.0261189985185336,0.0194791955928574,-0.006639802925676199,-25.421353429629807,-1.1978216277012954e-06,0.006706366114350715,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'fossil depletion', 'FDP')",0.1245412483897713,0.1125576591683889,-0.011983589221382401,-9.622184919712613,0.1245352280005636,0.112547867339364,-0.011987360661199598,-9.62567849568264,-9.79182902489939e-06,-0.0034935759700278624,SSP1,Nickel
